moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
star wars: episode vi - return of the jedi,,,,,,2615849,"76 (including Yoda, Boba Fett, Jabba the Hut, the Emperor and Darth Vader) plus 1 rancor, 1 Jabba-snack (a.k.a. frog), 1 space slug, 5 ewoks, 4 X-Wings, one rebel fighter, one kamikaze rebel fighter, 3 AT-ATs, 10 TIE Fighters, 2 rebel cruisers, 2 star destroyers and one unfinished death star."
,,,,,,,
terminator salvation,3147,125322469,200000000,action,5/21/2009,500070,"53, 5 terminators, 2 motorcycle killing machines, 2 hunter killers, 8 face-eating water snake machines (a.k.a. machine face snake eaters) and Skynet Central"
star trek vi: the undiscovered country,2999,74888996,27000000,action,12/6/1991,500015,"500,011 Klingons, 3 humans and 1 Chameloid"
star wars: episode iii - revenge of the sith,,,,,,353646,"117 plus 88 droids, 2 destroyers, 2 horseshoe crab ships, half of General Grievous's ship, 4 starfighters, 1 vulture droid, 8 buzz droids, 5 big-boned droids, 6 jedi-looking droids, 2 rolling water droids, 2 spider droids, 2 flying saucer ships and a hovertank."
jason x,1717,12610731,14000000,horror,4/26/2002,250023,"250,023"
the lord of the rings: the return of the king,3620,377845905,94000000,adventure,12/17/2003,220334,"15,107 men, 205,066 orcs, 110 trolls, 7 horses, 1 worm, 1 hobbit, 1 fish, 20 elephants, 9 Nazgul, 9 Fell Beasts, 1 giant creepy-ass spider, Sauron and Gollum"
the puppet masters,,,,,,203534,"26 people and 203,508 aliens"
star wars: episode ii - attack of the clones,,,,,,200697,"128 (including Jango Fett) plus 2 extremely poisonous giant centipedes, 1 giant alien saber-rat, 1 space beast, 1 space rhinocerous, 1 Mary-beast, 2 AT-TE walkers, 377 droids, 25 big-boned droids, 1 spider droid, 8 roller droids, 2 destroyers, and 1 ball ship."
dead air,,,,,,160004,4 plus tens of thousands of people in sixteen major US cities.
transformers: dark of the moon,4073,352390543,195000000,action,6/29/2011,129069,"129,017 people, 34 Decepticons, 7 Autobots, 10 more robots and a bird"
total recall (2012),,,,,,50201,"195 people, 50,006 synthetic police"
resident evil: apocalypse,2639,50740078,50000000,horror,9/10/2004,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
