,Release Date,Movie,Genre,ProductionBudget,BoxOffice
7,2016-03-11,10 cloverfield lane,thriller/suspense,5000000,26790517
8,2015-11-11,10 days in a madhouse,drama,12000000,14616
5,2008-03-07,10000 bc,adventure,105000000,94784201
28,2000-11-22,102 dalmatians,comedy,85000000,66941559
31,2006-08-18,10th & wolf,drama,8000000,54702
55,2009-03-27,12 rounds,action,20000000,12234694
1254,2013-10-18,12 years a slave,drama,20000000,56671993
60,2010-11-05,127 hours,drama,18000000,18335230
64,2004-04-23,13 going on 30,comedy,30000000,57139723
65,2016-01-15,13 hours: the secret soldiers of benghazi,drama,50000000,52715640
77,2007-06-22,1408,horror,22500000,71975611
83,2001-03-09,15 minutes,thriller/suspense,42000000,24375436
86,2006-03-03,16 blocks,action,45000000,36883539
89,2010-09-03,16 to life,romantic comedy,1000000,11574
94,2009-04-17,17 again,comedy,40000000,64167069
107,1979-12-14,1941,comedy,32000000,34175000
8,2003-06-06,2 fast 2 furious,action,76000000,127120058
9,2005-10-07,2 for the money,drama,20000000,22862049
10,2013-08-02,2 guns,action,61000000,75612460
23,1999-02-26,20 dates,comedy,66000,536767
1257,2013-06-14,20 feet from stardom,documentary,1000000,4946250
26,1999-02-26,200 cigarettes,romantic comedy,6000000,6851636
19,1916-12-24,20000 leagues under the sea,adventure,200000,8000000
20,1954-12-23,20000 leagues under the sea,adventure,5000000,28200000
30,1968-04-02,2001: a space odyssey,adventure,10500000,56700000
42,2009-11-13,2012,action,200000000,166112167
54,2012-07-13,2016: obama’s america,documentary,2500000,33349941
56,2005-08-05,2046,drama,12000000,1442337
59,2008-03-21,21,thriller/suspense,35000000,81159365
62,2013-03-01,21 and over,comedy,13000000,25682380
63,2003-11-21,21 grams,drama,20000000,16248701
64,2012-03-16,21 jump street,comedy,42000000,138447667
68,2014-06-13,22 jump street,comedy,50000000,191719337
73,1998-04-15,24 7: twenty four seven,comedy,2000000,72544
83,2002-12-19,25th hour,drama,4500000,13084595
85,2008-01-13,27 dresses,romantic comedy,30000000,76806312
87,2000-04-14,28 days,comedy,43000000,37035515
88,2003-06-27,28 days later,horror,8000000,45064915
91,2007-05-11,28 weeks later,horror,15000000,28637507
1,2011-09-16,3,drama,7200000,59774
5,2011-03-11,3 backyards,drama,300000,39475
9,2014-02-21,3 days to kill,thriller/suspense,28000000,30697999
13,1987-11-25,3 men and a baby,comedy,15000000,164016972
19,1994-05-06,3 ninjas kick back,action,20000000,11744960
22,2000-03-01,3 strikes,comedy,4000000,9821335
26,2007-10-19,30 days of night,horror,30000000,39568996
28,2011-08-12,30 minutes or less,comedy,28000000,37053924
32,2007-03-09,300,action,60000000,210592590
35,2001-02-23,3000 miles to graceland,drama,62000000,15738632
33,2014-03-07,300: rise of an empire,action,110000000,106580051
39,2007-09-02,3:10 to yuma,western,48000000,53606916
6,2008-01-25,4 luni 3 saptamani si 2 zile,drama,900000,1196321
10,2002-03-01,40 days and 40 nights,romantic comedy,17000000,37939782
21,2013-04-12,42,drama,40000000,95020213
23,1933-03-09,42nd street,musical,439000,1438000
31,2013-12-25,47 ronin,action,175000000,38362475
2,2011-08-19,5 days of war,drama,12000000,17479
7,2004-02-13,50 first dates,romantic comedy,75000000,120776832
11,2011-09-30,50/50,black comedy,8000000,35014192
10,2009-07-17,500 days of summer,romantic comedy,7500000,32391374
15,2006-10-18,51 birch street,documentary,350000,84689
