,moviename,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
30,resident evil: apocalypse,50740078.0,50000000.0,horror,2004-09-10,50120.0,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
31,the wolverine,132556852.0,115000000.0,action,2013-07-26,39048.0,"39,046 plus a bear and a mutant"
33,braveheart,75545647.0,72000000.0,drama,1995-05-24,21338.0,"20,176 men and 1,162 horses"
34,the da vinci code,217536138.0,125000000.0,thriller/suspense,2006-05-19,18047.0,"18,047"
36,resident evil: extinction,50648679.0,45000000.0,action,2007-09-21,15576.0,"576, 3 dogs and an entire flock of demon birds"
37,snowpiercer,4563029.0,40000000.0,thriller/suspense,2014-06-27,15136.0,136 people and a vat of bugs
38,children of men,35327768.0,76000000.0,thriller/suspense,2006-12-25,15043.0,"39, a dog, 3 crispy cows and a refugee camp"
39,vanity fair,16123851.0,23000000.0,drama,2004-09-01,13302.0,2 and the Battle of Waterloo
41,bats,10155691.0,6500000.0,horror,1999-10-22,10264.0,"28 people and 10,236 bats"
42,28 weeks later,28637507.0,15000000.0,horror,2007-05-11,10211.0,"10,211"
43,schindlers list,95494598.0,25000000.0,drama,1993-12-15,10033.0,"10,033"
45,wreck-it ralph,189412677.0,165000000.0,adventure,2012-11-02,10011.0,"2 and 10,009 Cy-Bugs"
46,legends of the fall,66484854.0,30000000.0,drama,1994-12-23,8765.0,"8,763 people, 1 cow and 1 unidentified animal"
47,transformers: revenge of the fallen,402111870.0,210000000.0,action,2009-06-24,7071.0,"7,049 people, 14 Decepticons, 5 baby Decepticons, 1 Decepticon hatchling, 1 Autobot that used to be a Decepticon, and 1 goat"
48,hellboy,59103901.0,60000000.0,action,2004-04-02,6041.0,"34 plus 6 Sammaels, 1 Ogdru Jahad, and thousands of Sammael eggs"
49,deep rising,11146409.0,45000000.0,action,1998-01-30,4207.0,"4,206 and one real unfriendly sea monster"
52,300,210592590.0,60000000.0,action,2007-03-09,3977.0,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude"
53,monsters vs aliens,198351526.0,175000000.0,adventure,2009-03-27,3682.0,"3,601 aliens and 81 giant alient robot probes"
54,extremely loud and incredibly close,31847881.0,40000000.0,drama,2011-12-25,2763.0,"2,763"
57,star trek: the motion picture,82258456.0,35000000.0,adventure,1979-12-07,2412.0,"2,412"
58,avp: alien vs predator,80281096.0,70000000.0,horror,2004-08-13,2350.0,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
61,pandorum,10330853.0,40000000.0,horror,2009-09-25,2176.0,"2,174 and 2 grasshoppers"
62,team america: world police,32774834.0,20000000.0,comedy,2004-10-15,2066.0,"2,066 plus 1 motherfucker from Samuel L. Jackson's puppet."
63,indiana jones and the last crusade,195705225.0,48000000.0,adventure,1989-05-24,2055.0,"48 people, 7 birds, and 2,000 rats"
64,transformers,319071806.0,151000000.0,action,2007-07-02,2024.0,"2,019 humans, 1 Autobot, 3 Decepticons and 1 baby Decepticon"
65,valkyrie,83077762.0,90000000.0,thriller/suspense,2008-12-25,2015.0,2014 and a mosquito
66,we were soldiers,78120196.0,70000000.0,drama,2002-03-01,1753.0,"1,753"
67,kingdom of heaven,47398413.0,110000000.0,adventure,2005-05-06,1594.0,"1,578 and 16 horses"
68,the last samurai,111110575.0,140000000.0,action,2003-12-05,1592.0,"1,562 people and 30 horses"
