movieskey,trimmed names,moviename,deathcount,deathcomment,release date,budget,domestic gross,worldwide gross
1,King Kong,King Kong,71,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats.",12/17/76,23000000,218080025,
2,Wrong Turn,Wrong Turn,8,"8	",5/30/03,10000000,15417771,
3,"Death to the Supermodels	","Death to the Supermodels	",7,7,#N/A,#N/A,#N/A,
4,"Zombie Honeymoon	","Zombie Honeymoon	",10,"10	",#N/A,#N/A,#N/A,
5,"Ginger DEAD Man	","Ginger DEAD Man	",7,6 and a cookie,#N/A,#N/A,#N/A,
6,Punisher,Punisher,58,58,#N/A,#N/A,#N/A,
7,The Baby,The Baby,3,a disappointing 3,#N/A,#N/A,#N/A,
8,"Return of the Living Dead: Necropolis	","Return of the Living Dead: Necropolis	",103,103,#N/A,#N/A,#N/A,
9,"Jeepers Creepers	","Jeepers Creepers	",8,8,#N/A,#N/A,#N/A,
10,"Jason X	","Jason X	",250023,"250,023",#N/A,#N/A,#N/A,
11,"Final Destination	","Final Destination	",292,"292	",#N/A,#N/A,#N/A,
12,"Killer Klowns from Outer Space	","Killer Klowns from Outer Space	",65,"43, plus 19 klowns, 1 dog, 1 balloon dog and a puppet",#N/A,#N/A,#N/A,
13,"Mr. Jingles	","Mr. Jingles	",17,17,#N/A,#N/A,#N/A,
1346,The Mask,The Mask,7,7,7/29/94,18000000,119874149,
14,"Satan's Little Helper	","Satan's Little Helper	",16,15 and a cat,#N/A,#N/A,#N/A,
15,"Death Tunnel	","Death Tunnel	",7,7,#N/A,#N/A,#N/A,
16,Andre the Butcher,Andre the Butcher,15,15,#N/A,#N/A,#N/A,
17,Troll,Troll,5,"3 people, 1 demon and a cop",#N/A,#N/A,#N/A,
18,Hatchetman,Hatchetman,9,"7, one 1/2 dead hatchetman, and one doomed engagement",#N/A,#N/A,#N/A,
19,Troll 2,Troll 2,10,5 people and a witch and some goblins via a double decker bologna sandwich and dear god I wish I was kidding.  Terrible.,#N/A,#N/A,#N/A,
20,Katiebird,Katiebird,4,4,#N/A,#N/A,#N/A,
21,Child's Play,Child's Play,10,5 and 5 rats,11/9/88,9000000,31605639,
1520,Pitch Black,Pitch Black,63,40 and 23 aliens,2/18/00,23000000,39235088,
22,"Child's Play 2	","Child's Play 2	",8,7 and a doll,#N/A,#N/A,#N/A,
23,Child's Play 3,Child's Play 3,8,7 and a doll,#N/A,#N/A,#N/A,
24,Bride of Chucky,Bride of Chucky,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed.	",10/16/98,25000000,32368960,
25,"Seed of Chucky	","Seed of Chucky	",12,10 and 2 dolls,#N/A,#N/A,#N/A,
26,Ed Gein,Ed Gein,8,"6, a pig and a rat",#N/A,#N/A,#N/A,
27,Alien vs. Predator,Alien vs. Predator,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien",#N/A,#N/A,#N/A,
28,Are you Scared?,Are you Scared?,7,7,#N/A,#N/A,#N/A,
29,Amityville Horror (2005),Amityville Horror (2005),7,6 and a dog,#N/A,#N/A,#N/A,
30,O,O,5,5,#N/A,#N/A,#N/A,
31,Pet Sematary,Pet Sematary,11,"9, 1 cat and 1 mouse",4/21/89,11500000,52795778,
32,Beyond the Wall of Sleep,Beyond the Wall of Sleep,17,"15, 1 fly and 1 monster",#N/A,#N/A,#N/A,
33,The Texas Chainsaw Massacre: The Beginning,The Texas Chainsaw Massacre: The Beginning,11,10 and a cow,10/6/06,16000000,39517763,
34,Club Dread,Club Dread,13,"3 before the credits, then 10 more. And 2 quotes.",2/27/04,8500000,5001655,
35,Resident Evil,Resident Evil,30,"21, 8 dogs and 1 licker",3/15/02,35000000,39532308,
36,Resident Evil: Apocalypse,Resident Evil: Apocalypse,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)",9/10/04,50000000,50740078,
37,The Break-Up,The Break-Up,1,1 relationship,6/2/06,52000000,118703275,
38,Trapped,Trapped,1,1,9/20/02,30000000,6916869,
39,Little Shop of Horrors,Little Shop of Horrors,3,"2 and a plant<br />(However, in the original ending that Frank Oz shot, the true body count would be 4 and no plant. Test audiences hated this ending ",12/19/86,30000000,38747385,
40,Pet Sematary II,Pet Sematary II,34,"7 people, 2 dogs (1 euthanized, 1 shot), 3 kittens, 22 rabbits, and 1 zombie rape",#N/A,#N/A,#N/A,
41,Mutant,Mutant,30,29 and 1 Monte Carlo,#N/A,#N/A,#N/A,
42,Formula 51,Formula 51,16,"15 and 1 exploded Meatloaf, plus Samuel L. Jackson said motherfucker 5 times.",10/18/02,27000000,5204007,
