movieskey,moviename,deathcount,deathcomment
1,King Kong ,71,"26 with Ape. Also 3 dinosaurs, 4 T-Rexes, 35 various giant insects and 3 giant bats."
2,Wrong Turn,8,"8	"
3,"Death to the Supermodels	",7,7
4,"Zombie Honeymoon	",10,"10	"
5,"Ginger DEAD Man	",7,6 and a cookie
6,Punisher,58,58
7,The Baby,3,a disappointing 3
8,"Return of the Living Dead: Necropolis	",103,103
9,"Jeepers Creepers	",8,8
10,"Jason X	",250023,"250,023"
11,"Final Destination	",292,"292	"
12,"Killer Klowns from Outer Space	",65,"43, plus 19 klowns, 1 dog, 1 balloon dog and a puppet"
13,"Mr. Jingles	",17,17
1346,The Mask,7,7
14,"Satan's Little Helper	",16,15 and a cat
15,"Death Tunnel	",7,7
16,Andre the Butcher,15,15
17,Troll,5,"3 people, 1 demon and a cop"
18,Hatchetman,9,"7, one 1/2 dead hatchetman, and one doomed engagement"
19,Troll 2,10,5 people and a witch and some goblins via a double decker bologna sandwich and dear god I wish I was kidding.  Terrible.
20,Katiebird,4,4
21,Child's Play,10,5 and 5 rats
1520,Pitch Black,63,40 and 23 aliens
22,"Child's Play 2	",8,7 and a doll
23,Child's Play 3,8,7 and a doll
24,Bride of Chucky,10,"8 and 1 and 1/2 dolls. Also, one killer baby doll was spewed.	"
25,"Seed of Chucky	",12,10 and 2 dolls
26,Ed Gein,8,"6, a pig and a rat"
27,Alien vs. Predator,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
28,Are you Scared?,7,7
29,Amityville Horror (2005),7,6 and a dog
30,O,5,5
31,Pet Sematary,11,"9, 1 cat and 1 mouse"
32,Beyond the Wall of Sleep,17,"15, 1 fly and 1 monster"
33,The Texas Chainsaw Massacre: The Beginning,11,10 and a cow
34,Club Dread,13,"3 before the credits, then 10 more. And 2 quotes."
35,Resident Evil,30,"21, 8 dogs and 1 licker"
36,Resident Evil: Apocalypse,50120,"111, plus 1 that we almost missed because we were too busy talking about sex, 4 dogs, 3 lickers and an entire city (including 1 nemesis boyfriend)"
37,The Break-Up,1,1 relationship
38,Trapped,1,1
39,Little Shop of Horrors,3,"2 and a plant<br />(However, in the original ending that Frank Oz shot, the true body count would be 4 and no plant. Test audiences hated this ending "
40,Pet Sematary II,34,"7 people, 2 dogs (1 euthanized, 1 shot), 3 kittens, 22 rabbits, and 1 zombie rape"
41,Mutant,30,29 and 1 Monte Carlo
42,Formula 51,16,"15 and 1 exploded Meatloaf, plus Samuel L. Jackson said motherfucker 5 times."
43,Lucky Number Slevin,22,"20 people, 1 horse, and 1 apartment"
44,Monster House,2,1 and a monster house (More people were eaten by the monster house but at the end they magically reappeared and we had to cross them off the list.)
1387,Life of Pi,328,"25, a goat, a giraffe, a camel, an ostrich, a warthog, 6 birds, 5 monkeys, an ibex, a cheetah, a hippo, 2 orangutans, a rhino, a zebra, a hyena, a rat, 2 big fish, a boatload of flying fish, 45 jellyfish, 40 fish eaten by acid and 61 meerkats"
45,Hellraiser ,7,6 and 1 rat
46,Hellraiser II: Hellbound,33,33
47,Dead Alive,41,"37, 1 rat monkey, 1 monkey, 1 dog and 1 rat"
48,Pumpkinhead,8,7 and a demon
49,Gremlins,132,3 people and 129 gremlins
50,House of 1000 Corpses,15,15
51,The Devil's Rejects,20,20
52,Hellraiser III: Hell on Earth,178,177 people & 1 head explosion
53,Hellraiser IV: Bloodline,15,"12 plus 1 dove, 1 demon dog, and 1 robot (exploded)"
54,Hellraiser V: Inferno,9,9
55,Hellraiser VI: Hellseeker,5,5
56,Little Nikita,5,5
57,Night of the Living Dead (1990),19,19
58,Bad Santa,1,1
59,Pulse,7,6 and a plane
60,The Mosquito Coast,4,4
61,"Time Bandits	",1552,"37, plus 1 minotaur, 1 rat, 1 Evil Genius and everyone that died on the Titanic"
62,Munchies,13,"2 people, 8 munchies and some tropical fish"
63,Gremlins 2: The New Batch,325,"3 people, 322 gremlins"
64,The Bride,5,4 and a midget
65,Hellraiser VII: Deader,11,11
66,Hope Floats,1,1
67,Wonderland,4,4
68,Drop Dead Gorgeous,7,"5, plus a trailer exploded and one girl lost her hearing	"
69,Primeval,20,20
70,Ghoulies,1,1 (I hate when people come back to life)
71,"Ghoulies II, Ghoulies 2",12,"7 people, 4 ghoulies, and one ghoulie eater"
72,Layer Cake,11,11
73,Bad Taste,66,"60, plus 5 seagulls and 1 sheep"
74,Parents,3,3
75,Storm of the Century,11,11
76,Underworld,45,"15 vampires, 29 lycan and one half lycan, half vampire fetus"
77,Open Water,3,2 whiny assholes and one underwater camera eaten by a mako shark
