movieskey,moviename,deathcount,deathcomment
1470,$5 a day,1,1
1087,11-11-11: the prophecy,4,4
1088,111111,24,"22, a butterfly and a rat"
1671,12 angry men,0,0
1708,13 going on 30,0,0
917,16 blocks,2,2
1280,17 girls,1,1 fetus
189,187,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing."
2076,2 guns,30,"25, 3 chickens and 2 deer"
725,2001 maniacs,11,"8 people, an armadillo, a cat, and a mouse"
664,2001: a space odyssey,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
782,2012,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.
1915,21 grams,4,4
1829,22 jump street,4,4
1743,25th hour,0,0
252,28 days,1,1
392,28 days later,33,32 and a monkey
2116,28 hotel rooms,0,0
283,28 weeks later,10211,"10,211"
222,30 days of night,165,"146 people, 12 vampires and 7 dogs"
300,300,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude"
923,3000 miles to graceland,48,47 and a coyote
1349,360,2,2
1817,4321,0,0
1582,48 hrs,8,8
1140,5050,1,1
965,68,9,9
1925,a beautiful mind,0,0
2069,a christmas story,0,0
796,a clockwork orange,3,2 and a snake
1982,a far off place,18,"11 people, 5 elephants, 1 leopard and 1 oryx"
2008,a good marriage,1,1
2156,a good old fashioned orgy,0,0
1778,a knights tale,1,1
1827,a million ways to die in the west,16,16
177,a nightmare on elm street ,4,4
662,a nightmare on elm street (2010),4,4
191,a nightmare on elm street 2: freddys revenge,11,"4, plus 2 birds, 1 rat and 4 fish"
197,a nightmare on elm street 3: dream warriors,6,6
206,a nightmare on elm street 4: the dream master,7,6 and a bug
227,a nightmare on elm street 5: the dream child,4,3 and a doll
260,a nightmare on elm street 6: freddys dead: the final nightmare,6,"4, a hamster, and Freddy"
2084,a perfect murder,3,3
1797,ace ventura: pet detective,2,1 and a bug
369,across the universe,10,"9 and Martin Luther King, Jr."
1427,acts of worship,1,1
1799,adaptation,9,6 and 3 dinosaurs
1680,admission,0,0
1928,adore,0,0
119,adrenalin: fear the rush,17,17
1093,adventures of baron munchausen,52,51 and a giant 3-headed mechanical bird
1704,after earth,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
1563,after fall winter,3,3
1007,afterlife,2,1 and a baby chick
297,ai artificial intelligence,7,6 Robots and 1 human recreated by robots
366,airplane!,10,10
1701,airport (1970),1,1
1626,aladdin,1,1
1319,albino alligator,8,8
546,alice in wonderland (2010),4,"1, a frog, a jub-jub bird and a jabberwocky"
397,alices restaurant,2,2
932,alien,8,"5, an android, an alien and a face hugger"
2071,alien abduction,174,174 crows
27,alien vs predator,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
956,alien&sup3;,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus"
998,alien: resurrection,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
933,aliens,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
1114,aliens vs predator: requiem,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
2066,all american christmas carol,0,0
1339,all good things,4,"2 people, a fetus and a dog"
1783,all the boys love mandy lane,8,7 and a bull
2018,almost mercy,21,20 and a bird
127,alpha dog,1,1
1532,alyce kills,6,6
354,amadeus,3,3
1600,amanda,0,0
544,amateur porn star killer,1,1
