moviename,index,BoxOffice,ProductionBudget,Genre,ReleaseDate,deathcount,deathcomment
$5 a day,,,,,,1,1
11-11-11: the prophecy,,,,,,4,4
111111,,,,,,24,"22, a butterfly and a rat"
12 angry men,,,,,,0,0
13 going on 30,9,57139723,30000000,comedy,4/23/2004,0,0
16 blocks,13,36883539,45000000,action,3/3/2006,2,2
17 girls,,,,,,1,1 fetus
187,,,,,,6,"4 people, 1 rat and 1 dog. Samuel L. Jackson did not say motherfucker even once. Very disappointing."
2 guns,19,75612460,61000000,action,8/2/2013,30,"25, 3 chickens and 2 deer"
2001 maniacs,,,,,,11,"8 people, an armadillo, a cat, and a mouse"
2001: a space odyssey,25,56700000,10500000,adventure,4/2/1968,8,"4 astronauts, 2 man-apes, 1 tapir and 1 sentient artificial intelligence "
2012,26,166112167,200000000,action,11/13/2009,5773515433,The population of Earth in 2012 except for Africa and three arks worth of people and animals that survived.
21 grams,31,16248701,20000000,drama,11/21/2003,4,4
22 jump street,33,191719337,50000000,comedy,6/13/2014,4,4
25th hour,35,13084595,4500000,drama,12/19/2002,0,0
28 days,37,37035515,43000000,comedy,4/14/2000,1,1
28 days later,38,45064915,8000000,horror,6/27/2003,33,32 and a monkey
28 hotel rooms,,,,,,0,0
28 weeks later,39,28637507,15000000,horror,5/11/2007,10211,"10,211"
30 days of night,46,39568996,30000000,horror,10/19/2007,165,"146 people, 12 vampires and 7 dogs"
300,48,210592590,60000000,action,3/9/2007,3977,"3,971 people, 1 battle rhinocerous, 3 elephants, 1 giant wolf and a big orc-looking dude"
3000 miles to graceland,49,15738632,62000000,drama,2/23/2001,48,47 and a coyote
360,,,,,,2,2
4321,,,,,,0,0
48 hrs,,,,,,8,8
50/50,,,,,,1,1
68,,,,,,9,9
a beautiful mind,71,170708996,78000000,drama,12/21/2001,0,0
a christmas story,75,20605209,3250000,comedy,11/18/1983,0,0
a clockwork orange,,,,,,3,2 and a snake
a far off place,,,,,,18,"11 people, 5 elephants, 1 leopard and 1 oryx"
a good marriage,,,,,,1,1
a good old fashioned orgy,,,,,,0,0
a knight��s tale,90,56083966,41000000,adventure,5/11/2001,1,1
a million ways to die in the west,97,42720965,40000000,comedy,5/30/2014,16,16
a nightmare on elm street,101,63075011,35000000,horror,4/30/2010,4,4
a nightmare on elm street,102,25504513,1800000,horror,11/9/1984,4,4
a nightmare on elm street part 2: freddys revenge,105,21163999,3000000,horror,11/1/1985,11,"4, plus 2 birds, 1 rat and 4 fish"
a nightmare on elm street 3: dream warriors,103,44793222,5000000,horror,2/27/1987,6,6
a nightmare on elm street 4: the dream master,104,49369899,13000000,horror,8/19/1988,7,6 and a bug
a nightmare on elm street: the dream child,106,22168359,6000000,horror,8/11/1989,4,3 and a doll
freddys dead: the final nightmare,,,,,,6,"4, a hamster, and Freddy"
a perfect murder,,,,,,3,3
ace ventura: pet detective,138,71602138,12000000,comedy,2/4/1994,2,1 and a bug
across the universe,140,24343673,45000000,musical,9/14/2007,10,"9 and Martin Luther King, Jr."
acts of worship,,,,,,1,1
adaptation,144,22498520,18500000,comedy,12/6/2002,9,6 and 3 dinosaurs
admission,146,18007317,13000000,romantic comedy,3/22/2013,0,0
adore,,,,,,0,0
adrenalin: fear the rush,,,,,,17,17
adventures of baron munchausen,,,,,,52,51 and a giant 3-headed mechanical bird
after earth,150,60522097,130000000,action,5/31/2013,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA"
after fall winter,,,,,,3,3
afterlife,,,,,,2,1 and a baby chick
artificial intelligence: ai,297,78616689,90000000,drama,6/29/2001,7,6 Robots and 1 human recreated by robots
airplane!,159,83453539,3500000,comedy,7/4/1980,10,10
airport (1970),,,,,,1,1
aladdin,164,208577270,28000000,comedy,11/11/1992,1,1
albino alligator,166,326308,5000000,drama,1/17/1997,8,8
alice in wonderland,175,334191110,200000000,adventure,3/5/2010,4,"1, a frog, a jub-jub bird and a jabberwocky"
alices restaurant,,,,,,2,2
alien,176,80930630,9000000,horror,5/25/1979,8,"5, an android, an alien and a face hugger"
alien abduction,,,,,,174,174 crows
avp: alien vs predator,322,80281096,70000000,horror,8/13/2004,2350,"26 humans, 6 predators, 85 face huggers, 2,233 aliens and 1 baby alien"
alien,,,,,,37,"30 plus 2 face huggers, an ox, an android, an alien, and an alien queen fetus"
alien: resurrection,178,47748610,60000000,action,11/26/1997,52,"28 people, 22 face huggers, 12 aliens, 7 clones, 1 spider, 1 alien queen and 1 alien-human hybrid"
aliens,179,85160248,17000000,action,7/18/1986,485,"169 humans, 156 aliens, 159 face huggers and one alien queen"
aliens vs predator - requiem,181,41797066,40000000,action,12/25/2007,142,"84 people, 4 unborn children, 24 aliens, 4 predators, 5 face huggers, 1 pralien and 20 baby praliens "
all american christmas carol,,,,,,0,0
all good things,185,582024,20000000,drama,12/3/2010,4,"2 people, a fetus and a dog"
all the boys love mandy lane,,,,,,8,7 and a bull
almost mercy,,,,,,21,20 and a bird
alpha dog,,,,,,1,1
alyce kills,,,,,,6,6
amadeus,205,51564280,18000000,drama,9/19/1984,3,3
amanda,,,,,,0,0
amateur porn star killer,,,,,,1,1
the amazing spider-man,3179,262030663,220000000,adventure,7/3/2012,4,"2 people, a mouse and a genetically enhanced spider"
amelie,,,,,,1,1
american beauty,208,130058047,15000000,drama,9/15/1999,1,1
american crime an american crime,,,,,,1,1
american dreamz,210,7156725,17000000,black comedy,4/21/2006,2,2
american heist,,,,,,10,10
american history x,213,6712241,10000000,drama,10/30/1998,3,3
american hustle,214,150117807,40000000,black comedy,12/13/2013,1,1
american loser,,,,,,0,0
american mary,,,,,,6,6
american pie presents: the book of love,,,,,,2,1 and a squirrel
american zombie,,,,,,2,2
amityville 3-d,,,,,,4,4
amityville haunting,,,,,,12,12
amityville horror (1979),,,,,,6,6
amityville horror (2005),,,,,,7,6 and a dog
amityville ii: the possession,,,,,,5,5
amityville: a new generation,,,,,,5,5
an american werewolf in london,,,,,,14,12 and 2 werewolves
an american werewolf in paris,,,,,,34,"26 people, 7 werewolves and 1 dog"
anatomy of a love seen,,,,,,0,0
anchorman: the legend of ron burgundy,245,84136909,25000000,comedy,7/9/2004,2,1 and a squirrel
and baby will fall,,,,,,1,1 dog
andre the butcher,,,,,,15,15
